SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT
CP073044_1,124553,125377,+,OXA-9,1-825/825,===============,0/0,100,100,card,M55547.1:0-825,OXA-9 is a beta-lactamase found in Klebsiella pneumoniae.
CP073044_1,126077,126937,+,TEM-150,1-861/861,===============,0/0,100,99.88,card,AM183304.1:208-1069,TEM-150 is a beta-lactamase found in Enterobacter spp. E. coli and Klebsiella pneumoniae.
CP075027_1,54135,54971,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP075027_1,54971,55774,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.75,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
CP075027_1,63438,64298,+,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
CP075027_1,131935,133140,+,tet(B),1-1206/1206,===============,0/0,100,99.75,card,AB089595.1:0-1206,Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.
CP078021_1,103952,104539,+,AAC(6')-Ib10,25-612/612,===============,0/0,96.08,99.66,card,U59183.1:247-859,AAC(6')-Ib10 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.
CP078021_1,104670,105500,+,OXA-1,1-831/831,===============,0/0,100,99.88,card,JN420336.1:2230-1399,OXA-1 is a beta-lactamase found in E. coli.
CP078021_1,105638,106270,+,catB3,1-633/633,===============,0/0,100,100,card,JX101693.1:58200-58833,catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium Acinetobacter baumannii and Escherichia coli.
CP078021_1,106355,106807,+,arr-3,1-453/453,===============,0/0,100,100,card,EU675686.1:1956-2409,arr-3 is a plasmid-encoded ribosyltransferase found in Vibrio fluvialis.
CP078021_1,107030,107377,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP078021_1,107371,108210,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP078021_1,113613,114851,-,Mrx,1-1239/1239,===============,0/0,100,100,card,AY522923.1:8983-7744,Mrx is part of the macrolide inactivation gene cluster in Aeromonas hydrophila.
CP078021_1,114848,115753,-,mphA,1-906/906,===============,0/0,100,100,card,D16251.1:2531-1625,The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.
CP078021_1,119273,120133,-,AAC(3)-IId,1-861/861,===============,0/0,100,99.88,card,EU022314.1:0-861,AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli.
CP078021_1,125698,126558,+,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
CP078021_1,136814,137653,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP078021_1,137647,137994,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP078021_1,138158,138937,-,aadA2,1-780/780,===============,0/0,100,99.87,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
CP078021_1,139357,139854,-,dfrA12,1-498/498,===============,0/0,100,100,card,GU585907.1:22103-21605,dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.
CP080514_1,21061,22680,+,MCR-9.1,1-1620/1620,===============,0/0,100,99.94,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
CP080514_1,147744,148604,-,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
CP080514_1,152851,153711,+,AAC(3)-IId,1-861/861,===============,0/0,100,99.88,card,EU022314.1:0-861,AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli.
CP080540_1,157003,157815,+,NDM-1,1-813/813,===============,0/0,100,100,card,FN396876.1:3219-2406,NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae with nearly complete resistance to all beta-lactam antibiotics.
CP080540_1,157819,158184,+,BRP(MBL),1-366/366,===============,0/0,100,100,card,KC503911.1:9883-10249,A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter where it is co-expressed with an MBL and controlled by the same promoter region.
CP080540_1,286921,288105,-,tet(D),1-1185/1185,===============,0/0,100,100,card,AF467077.1:163-1348,TetD is a tetracycline efflux pump found exclusively in Gram-negative bacteria.
CP080540_1,297503,298304,+,AAC(6')-Ib7,1-786/786,========/======,1/16,100,98,card,KR091911.1:75350-74564,AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii.
CP080540_1,302617,303418,+,AAC(6')-Ib7,1-786/786,========/======,1/16,100,98,card,KR091911.1:75350-74564,AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii.
CP082469_1,42652,43488,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP082469_1,43488,44291,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.88,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
CP082469_1,46280,47056,+,AAC(3)-IVa,1-777/777,===============,0/0,100,100,card,DQ241380.1:0-777,AAC(3)-IV is a plasmid-encoded aminoglycoside acetyltransferase in E. coli C. jejuni and P. stutzeri.
CP082469_1,47285,48310,+,APH(4)-Ia,1-1026/1026,===============,0/0,100,100,card,V01499.1:230-1256,APH(4)-Ia is a plasmid-encoded aminoglycoside phosphotransferase in E. coli.
CP082469_1,143522,144337,+,sul2,1-816/816,===============,0/0,100,100,card,AY055428.1:21084-20268,Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.
CP082469_1,146439,147685,+,tet(A),1-1247/1275,===============,0/0,97.8,100,card,AF534183.1:2970-4245,TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.
CP082469_1,300288,301493,-,tet(B),1-1206/1206,===============,0/0,100,99.67,card,AB089595.1:0-1206,Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.
CP082487_1,122898,123557,+,catA1,1-660/660,===============,0/0,100,99.85,card,V00622.1:243-903,catA1 (formerly in CARD as catI) is a chromosome and transposon-encoded variant of the cat gene found in Escherichia coli and Acinetobacter baumannii.
CP082487_1,129568,130065,+,dfrA12,1-498/498,===============,0/0,100,100,card,GU585907.1:22103-21605,dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.
CP082487_1,130485,131264,+,aadA2,1-780/780,===============,0/0,100,99.87,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
CP082487_1,131428,131775,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP082487_1,131769,132608,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP082487_1,135827,136687,-,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
CP082487_1,141659,142519,-,AAC(3)-IId,1-861/861,===============,0/0,100,99.88,card,EU022314.1:0-861,AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli.
CP082487_1,145304,146119,+,sul2,1-816/816,===============,0/0,100,99.63,card,AY055428.1:21084-20268,Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.
CP082487_1,146180,146983,+,APH(3'')-Ib,1-804/804,===============,0/0,100,99.75,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
CP082487_1,146983,147819,+,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP082487_1,155924,157129,-,tet(B),1-1206/1206,===============,0/0,100,99.75,card,AB089595.1:0-1206,Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.
CP082572_1,155412,156617,+,tet(B),1-1206/1206,===============,0/0,100,99.75,card,AB089595.1:0-1206,Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.
CP082572_1,157950,158789,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP082572_1,158783,159130,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP082572_1,159294,160073,-,aadA2,1-780/780,===============,0/0,100,99.87,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
CP082572_1,160493,160990,-,dfrA12,1-498/498,===============,0/0,100,100,card,GU585907.1:22103-21605,dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.
CP082572_1,166692,167552,-,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
CP082572_1,172524,173384,-,AAC(3)-IId,1-861/861,===============,0/0,100,99.88,card,EU022314.1:0-861,AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli.
CP082572_1,175456,176292,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP082572_1,176292,177095,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.75,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
CP082572_1,177156,177971,-,sul2,1-816/816,===============,0/0,100,99.63,card,AY055428.1:21084-20268,Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.
CP082667_1,70974,72179,+,tet(B),1-1206/1206,===============,0/0,100,99.83,card,AB089595.1:0-1206,Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.
CP082667_1,178061,178838,+,AAC(6')-Ib7,1-786/786,========/======,2/14,98.6,98.1,card,KR091911.1:75350-74564,AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii.
CP082667_1,178908,179699,+,aadA,1-792/792,===============,0/0,100,100,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP082667_1,192578,194197,-,MCR-9.1,1-1620/1620,===============,0/0,100,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
CP082685_1,89923,90762,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP082685_1,90756,91103,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP082685_1,91267,92046,-,aadA2,1-780/780,===============,0/0,100,99.87,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
CP082685_1,92116,92649,-,ANT(2'')-Ia,1-534/534,===============,0/0,100,100,card,AF078527.1:3769-4303,Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa K. pneumoniae Morganella morganii E. coli S. typhimurium C. freundii and A. baumannii.
CP082699_1,171703,172539,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP082699_1,172539,173342,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.88,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
CP082712_1,20582,21787,-,tet(B),1-1206/1206,===============,0/0,100,99.75,card,AB089595.1:0-1206,Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.
CP085739_1,117388,118634,-,tet(A),1-1247/1275,===============,0/0,97.8,100,card,AF534183.1:2970-4245,TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.
CP085739_1,126118,126957,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP085739_1,126951,127298,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP085739_1,127462,128253,-,aadA,1-792/792,===============,0/0,100,100,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP085739_1,128323,128902,-,AAC(6')-Ib9,33-612/612,===============,0/0,94.77,99.83,card,AF043381.1:251-863,AAC(6')-Ib9 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.
CP085739_1,128985,129785,-,VIM-1,1-801/801,===============,0/0,100,100,card,AF317511.1:187-988,VIM-1 is a beta-lactamase found in Pseudomonas spp.
CP085739_1,131941,132756,+,APH(3')-Ia,1-816/816,===============,0/0,100,100,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.
CP085739_1,136790,137263,+,dfrA1,1-474/474,===============,0/0,100,100,card,KJ541681.1:19526-20000,dfrA1 is an integron-encoded dihydrofolate reductase.
CP085739_1,137356,138147,+,aadA,1-792/792,===============,0/0,100,99.75,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP085739_1,143047,143706,-,catA1,1-660/660,===============,0/0,100,99.85,card,V00622.1:243-903,catA1 (formerly in CARD as catI) is a chromosome and transposon-encoded variant of the cat gene found in Escherichia coli and Acinetobacter baumannii.
CP085766_1,126898,128144,-,tet(A),1-1247/1275,===============,0/0,97.8,100,card,AF534183.1:2970-4245,TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.
CP085766_1,135628,136467,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP085766_1,136461,136808,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP085766_1,136972,137763,-,aadA,1-792/792,===============,0/0,100,100,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP085766_1,137833,138412,-,AAC(6')-Ib9,33-612/612,===============,0/0,94.77,99.83,card,AF043381.1:251-863,AAC(6')-Ib9 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.
CP085766_1,138495,139295,-,VIM-1,1-801/801,===============,0/0,100,100,card,AF317511.1:187-988,VIM-1 is a beta-lactamase found in Pseudomonas spp.
CP085766_1,144040,144513,+,dfrA1,1-474/474,===============,0/0,100,100,card,KJ541681.1:19526-20000,dfrA1 is an integron-encoded dihydrofolate reductase.
CP085766_1,144606,145397,+,aadA,1-792/792,===============,0/0,100,99.75,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP085766_1,150297,150956,-,catA1,1-660/660,===============,0/0,100,99.85,card,V00622.1:243-903,catA1 (formerly in CARD as catI) is a chromosome and transposon-encoded variant of the cat gene found in Escherichia coli and Acinetobacter baumannii.
CP086672_1,9415,10212,-,OXA-48,1-798/798,===============,0/0,100,100,card,AY236073.2:2187-2985,OXA-48 is a beta-lactamase found in Klebsiella pneumoniae.
CP086672_1,152224,152883,+,catA1,1-660/660,===============,0/0,100,99.85,card,V00622.1:243-903,catA1 (formerly in CARD as catI) is a chromosome and transposon-encoded variant of the cat gene found in Escherichia coli and Acinetobacter baumannii.
CP086672_1,155762,156592,-,OXA-1,1-831/831,===============,0/0,100,100,card,JN420336.1:2230-1399,OXA-1 is a beta-lactamase found in E. coli.
CP086672_1,156723,157310,-,AAC(6')-Ib10,25-612/612,===============,0/0,96.08,99.66,card,U59183.1:247-859,AAC(6')-Ib10 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.
CP086672_1,164565,165425,+,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
CP086672_1,166671,167327,+,QnrS1,1-657/657,===============,0/0,100,100,card,DQ485529.1:0-657,QnrS1 is a plasmid-mediated quinolone resistance protein found in Shigella flexneri.
CP086672_1,176562,177437,-,CTX-M-15,1-876/876,===============,0/0,100,100,card,AY044436.1:1435-2311,CTX-M-15 is a beta-lactamase found in the Enterobacteriaceae family.
CP086672_1,179100,179633,+,ANT(2'')-Ia,1-534/534,===============,0/0,100,100,card,AF078527.1:3769-4303,Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa K. pneumoniae Morganella morganii E. coli S. typhimurium C. freundii and A. baumannii.
CP086672_1,179691,180482,+,aadA,1-792/792,===============,0/0,100,99.87,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP086672_1,180646,180993,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP086672_1,180987,181826,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP089393_1,944,1477,+,ANT(2'')-Ia,1-534/534,===============,0/0,100,100,card,AF078527.1:3769-4303,Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa K. pneumoniae Morganella morganii E. coli S. typhimurium C. freundii and A. baumannii.
CP089393_1,1547,2326,+,aadA2,1-780/780,===============,0/0,100,100,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
CP089393_1,2490,2837,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP089393_1,2831,3670,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP089393_1,5943,6818,+,CTX-M-9,1-876/876,===============,0/0,100,100,card,AF174129.1:6335-7211,CTX-M-9 is a beta-lactamase found in the Enterobacteriaceae family.
CP089393_1,10820,12437,-,MCR-9.1,1-1618/1620,===============,0/0,99.88,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
CP089393_1,106328,107512,-,tet(D),1-1185/1185,===============,0/0,100,100,card,AF467077.1:163-1348,TetD is a tetracycline efflux pump found exclusively in Gram-negative bacteria.
CP089393_1,110648,111484,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP089393_1,111484,112287,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.88,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
CP089393_1,114061,114630,-,dfrA19,1-570/570,===============,0/0,100,99.83,card,AJ310778.1:7003-7573,dfrA19 is an integron-encoded dihydrofolate reductase found in Klebsiella pneumoniae.
CP089393_1,117342,118181,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP089393_1,118175,118522,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP089393_1,118686,119465,-,aadA2,1-780/780,===============,0/0,100,100,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
CP089393_1,119535,120068,-,ANT(2'')-Ia,1-534/534,===============,0/0,100,100,card,AF078527.1:3769-4303,Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa K. pneumoniae Morganella morganii E. coli S. typhimurium C. freundii and A. baumannii.
CP089393_1,258125,258648,-,catII_from_Escherichia_coli_K-12,1-524/642,=============..,0/0,81.62,96.18,card,X53796.1:186-828,catII is a chloramphenicol acetyltransferase. This particular catII is found in E.coli K-12. Confers resistance to chloramphenicol.
CP089393_1,263662,264522,-,SHV-12,1-861/861,===============,0/0,100,100,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
CP089393_1,266893,267480,+,AAC(6')-Ib10,25-612/612,===============,0/0,96.08,99.66,card,U59183.1:247-859,AAC(6')-Ib10 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.
CP089393_1,267611,268441,+,OXA-1,1-831/831,===============,0/0,100,100,card,JN420336.1:2230-1399,OXA-1 is a beta-lactamase found in E. coli.
CP089393_1,268579,269211,+,catB3,1-633/633,===============,0/0,100,100,card,JX101693.1:58200-58833,catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium Acinetobacter baumannii and Escherichia coli.
CP089393_1,269296,269748,+,arr-3,1-453/453,===============,0/0,100,100,card,EU675686.1:1956-2409,arr-3 is a plasmid-encoded ribosyltransferase found in Vibrio fluvialis.
CP089393_1,269971,270318,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP089393_1,270312,271151,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP089393_1,274898,275579,-,QnrB20,1-681/681,========/======,1/1,100,99.41,card,AB379831.1:0-681,QnrB20 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.
